NUMBER_OF_SALES,NUMBER_OF_UNIQUE_PRODUCT,NUMBER_OF_SHOPS,STORE_LOCATION,PRODUCT_DETAIL,PRODUCT_CATEGORY,PRODUCT_TYPE,PURCHASE_DATE,DAY_NAME,MONTH_NAME,DAY_OF_MONTH,MONTH_ID,YEAR,HOUR_OF_DAY,AVG_REVENUE,TOTAL_REVENUE,NUMBER_OF_UNITS_SOLD,TRANSACTIONS,TIME_BUCKETS,DAY_CLASSIFICATION
1,1,1,Hell's Kitchen,Brazilian Sm,Coffee,Organic brewed coffee,2023-01-03,Tue,Jan,3,202301,2023,17,4,4.40,2,1,Evening,Weekday
1,1,1,Hell's Kitchen,Latte Rg,Coffee,Barista Espresso,2023-01-04,Wed,Jan,4,202301,2023,10,9,8.50,2,1,Morning,Weekday
1,1,1,Lower Manhattan,Oatmeal Scone,Bakery,Scone,2023-01-07,Sat,Jan,7,202301,2023,10,3,3.00,1,1,Morning,Weekend
1,1,1,Hell's Kitchen,Sugar Free Vanilla syrup,Flavours,Sugar free syrup,2023-01-10,Tue,Jan,10,202301,2023,14,2,1.60,2,1,Afternoon,Weekday
1,1,1,Astoria,Earl Grey Lg,Tea,Brewed Black tea,2023-01-02,Mon,Jan,2,202301,2023,12,6,6.00,2,1,Afternoon,Weekday
1,1,1,Astoria,Serenity Green Tea Rg,Tea,Brewed Green tea,2023-01-01,Sun,Jan,1,202301,2023,17,3,2.50,1,1,Evening,Weekend
1,1,1,Hell's Kitchen,Latte Rg,Coffee,Barista Espresso,2023-01-02,Mon,Jan,2,202301,2023,19,9,8.50,2,1,Evening,Weekday
2,1,1,Astoria,Ginger Scone,Bakery,Scone,2023-01-02,Mon,Jan,2,202301,2023,19,7,6.50,2,2,Evening,Weekday
1,1,1,Lower Manhattan,Brazilian Lg,Coffee,Organic brewed coffee,2023-01-03,Tue,Jan,3,202301,2023,8,4,3.50,1,1,Morning,Weekday
1,1,1,Hell's Kitchen,Lemon Grass Rg,Tea,Brewed herbal tea,2023-01-03,Tue,Jan,3,202301,2023,11,3,2.50,1,1,Morning,Weekday
1,1,1,Hell's Kitchen,Ethiopia Sm,Coffee,Gourmet brewed coffee,2023-01-04,Wed,Jan,4,202301,2023,9,2,2.20,1,1,Morning,Weekday
1,1,1,Hell's Kitchen,Our Old Time Diner Blend Sm,Coffee,Drip coffee,2023-01-04,Wed,Jan,4,202301,2023,8,2,2.00,1,1,Morning,Weekday
1,1,1,Astoria,Espresso shot,Coffee,Barista Espresso,2023-01-04,Wed,Jan,4,202301,2023,12,3,3.00,1,1,Afternoon,Weekday
2,1,1,Astoria,Chocolate Croissant,Bakery,Pastry,2023-01-04,Wed,Jan,4,202301,2023,12,8,7.50,2,2,Afternoon,Weekday
2,1,1,Astoria,Sustainably Grown Organic Rg,Drinking Chocolate,Hot chocolate,2023-01-04,Wed,Jan,4,202301,2023,13,11,11.25,3,2,Afternoon,Weekday
1,1,1,Lower Manhattan,Dark chocolate Lg,Drinking Chocolate,Hot chocolate,2023-01-04,Wed,Jan,4,202301,2023,14,9,9.00,2,1,Afternoon,Weekday
1,1,1,Hell's Kitchen,Sustainably Grown Organic Rg,Drinking Chocolate,Hot chocolate,2023-01-04,Wed,Jan,4,202301,2023,19,4,3.75,1,1,Evening,Weekday
2,1,1,Lower Manhattan,English Breakfast Lg,Tea,Brewed Black tea,2023-01-05,Thu,Jan,5,202301,2023,8,9,9.00,3,2,Morning,Weekday
1,1,1,Lower Manhattan,Our Old Time Diner Blend Rg,Coffee,Drip coffee,2023-01-05,Thu,Jan,5,202301,2023,14,3,2.50,1,1,Afternoon,Weekday
2,1,1,Astoria,Latte,Coffee,Barista Espresso,2023-01-05,Thu,Jan,5,202301,2023,15,11,11.25,3,2,Afternoon,Weekday
1,1,1,Astoria,Cranberry Scone,Bakery,Scone,2023-01-05,Thu,Jan,5,202301,2023,17,3,3.25,1,1,Evening,Weekday
2,1,1,Astoria,Spicy Eye Opener Chai Lg,Tea,Brewed Chai tea,2023-01-05,Thu,Jan,5,202301,2023,18,12,12.40,4,2,Evening,Weekday
1,1,1,Astoria,Earl Grey Lg,Tea,Brewed Black tea,2023-01-05,Thu,Jan,5,202301,2023,19,3,3.00,1,1,Evening,Weekday
1,1,1,Hell's Kitchen,Croissant,Bakery,Pastry,2023-01-06,Fri,Jan,6,202301,2023,15,4,3.50,1,1,Afternoon,Weekday
1,1,1,Hell's Kitchen,Jamaican Coffee River Rg,Coffee,Premium brewed coffee,2023-01-06,Fri,Jan,6,202301,2023,16,6,6.20,2,1,Evening,Weekday
1,1,1,Hell's Kitchen,Brazilian Lg,Coffee,Organic brewed coffee,2023-01-06,Fri,Jan,6,202301,2023,16,4,3.50,1,1,Evening,Weekday
1,1,1,Lower Manhattan,Brazilian Rg,Coffee,Organic brewed coffee,2023-01-06,Fri,Jan,6,202301,2023,16,3,3.00,1,1,Evening,Weekday
2,1,1,Lower Manhattan,Jamaican Coffee River Sm,Coffee,Premium brewed coffee,2023-01-07,Sat,Jan,7,202301,2023,7,5,4.90,2,2,Morning,Weekend
2,1,1,Hell's Kitchen,Morning Sunrise Chai Lg,Tea,Brewed Chai tea,2023-01-07,Sat,Jan,7,202301,2023,8,12,12.00,3,2,Morning,Weekend
2,1,1,Astoria,Latte,Coffee,Barista Espresso,2023-01-07,Sat,Jan,7,202301,2023,8,11,11.25,3,2,Morning,Weekend
1,1,1,Lower Manhattan,Dark chocolate,Packaged Chocolate,Drinking Chocolate,2023-01-07,Sat,Jan,7,202301,2023,9,6,6.40,1,1,Morning,Weekend
2,1,1,Hell's Kitchen,Primo Espresso Roast,Coffee beans,Espresso Beans,2023-01-07,Sat,Jan,7,202301,2023,10,41,40.90,2,2,Morning,Weekend
2,1,1,Astoria,Ginger Scone,Bakery,Scone,2023-01-06,Fri,Jan,6,202301,2023,14,7,6.50,2,2,Afternoon,Weekday
1,1,1,Hell's Kitchen,Ethiopia Lg,Coffee,Gourmet brewed coffee,2023-01-06,Fri,Jan,6,202301,2023,15,4,3.50,1,1,Afternoon,Weekday
2,1,1,Hell's Kitchen,Our Old Time Diner Blend Lg,Coffee,Drip coffee,2023-01-07,Sat,Jan,7,202301,2023,8,12,12.00,4,2,Morning,Weekend
1,1,1,Astoria,Peppermint Rg,Tea,Brewed herbal tea,2023-01-07,Sat,Jan,7,202301,2023,15,5,5.00,2,1,Afternoon,Weekend
1,1,1,Astoria,Brazilian Sm,Coffee,Organic brewed coffee,2023-01-07,Sat,Jan,7,202301,2023,16,4,4.40,2,1,Evening,Weekend
2,1,1,Hell's Kitchen,English Breakfast Rg,Tea,Brewed Black tea,2023-01-07,Sat,Jan,7,202301,2023,9,10,10.00,4,2,Morning,Weekend
1,1,1,Lower Manhattan,Our Old Time Diner Blend Rg,Coffee,Drip coffee,2023-01-08,Sun,Jan,8,202301,2023,8,5,5.00,2,1,Morning,Weekend
1,1,1,Astoria,Cappuccino,Coffee,Barista Espresso,2023-01-08,Sun,Jan,8,202301,2023,13,4,3.75,1,1,Afternoon,Weekend
1,1,1,Hell's Kitchen,Columbian Medium Roast Lg,Coffee,Gourmet brewed coffee,2023-01-08,Sun,Jan,8,202301,2023,16,3,3.00,1,1,Evening,Weekend
1,1,1,Astoria,Croissant,Bakery,Pastry,2023-01-08,Sun,Jan,8,202301,2023,17,7,7.00,2,1,Evening,Weekend
1,1,1,Astoria,Lemon Grass,Loose Tea,Herbal tea,2023-01-08,Sun,Jan,8,202301,2023,17,9,8.95,1,1,Evening,Weekend
1,1,1,Hell's Kitchen,Dark chocolate Lg,Drinking Chocolate,Hot chocolate,2023-01-09,Mon,Jan,9,202301,2023,6,9,9.00,2,1,Morning,Weekday
1,1,1,Astoria,Chili Mayan,Packaged Chocolate,Drinking Chocolate,2023-01-09,Mon,Jan,9,202301,2023,13,13,13.33,1,1,Afternoon,Weekday
1,1,1,Hell's Kitchen,Latte Rg,Coffee,Barista Espresso,2023-01-09,Mon,Jan,9,202301,2023,13,4,4.25,1,1,Afternoon,Weekday
1,1,1,Hell's Kitchen,Dark chocolate Rg,Drinking Chocolate,Hot chocolate,2023-01-09,Mon,Jan,9,202301,2023,15,7,7.00,2,1,Afternoon,Weekday
1,1,1,Lower Manhattan,Dark chocolate Lg,Drinking Chocolate,Hot chocolate,2023-01-10,Tue,Jan,10,202301,2023,7,5,4.50,1,1,Morning,Weekday
2,1,1,Astoria,Jamaican Coffee River Rg,Coffee,Premium brewed coffee,2023-01-10,Tue,Jan,10,202301,2023,8,12,12.40,4,2,Morning,Weekday
1,1,1,Hell's Kitchen,Sustainably Grown Organic,Packaged Chocolate,Organic Chocolate,2023-01-10,Tue,Jan,10,202301,2023,9,8,7.60,1,1,Morning,Weekday
2,1,1,Astoria,Ginger Biscotti,Bakery,Biscotti,2023-01-10,Tue,Jan,10,202301,2023,9,7,7.00,2,2,Morning,Weekday
1,1,1,Astoria,Ginger Scone,Bakery,Scone,2023-01-10,Tue,Jan,10,202301,2023,13,3,3.25,1,1,Afternoon,Weekday
1,1,1,Hell's Kitchen,Traditional Blend Chai Rg,Tea,Brewed Chai tea,2023-01-12,Thu,Jan,12,202301,2023,15,5,5.00,2,1,Afternoon,Weekday
3,1,1,Hell's Kitchen,English Breakfast Rg,Tea,Brewed Black tea,2023-01-13,Fri,Jan,13,202301,2023,10,13,12.50,5,3,Morning,Weekday
1,1,1,Astoria,Oatmeal Scone,Bakery,Scone,2023-01-14,Sat,Jan,14,202301,2023,19,3,3.00,1,1,Evening,Weekend
1,1,1,Hell's Kitchen,Our Old Time Diner Blend Rg,Coffee,Drip coffee,2023-01-12,Thu,Jan,12,202301,2023,11,5,5.00,2,1,Morning,Weekday
1,1,1,Hell's Kitchen,Ethiopia Sm,Coffee,Gourmet brewed coffee,2023-01-14,Sat,Jan,14,202301,2023,10,2,2.20,1,1,Morning,Weekend
2,1,1,Lower Manhattan,Hazelnut Biscotti,Bakery,Biscotti,2023-01-14,Sat,Jan,14,202301,2023,14,7,6.50,2,2,Afternoon,Weekend
2,1,1,Lower Manhattan,Serenity Green Tea Rg,Tea,Brewed Green tea,2023-01-15,Sun,Jan,15,202301,2023,9,8,7.50,3,2,Morning,Weekend
1,1,1,Astoria,Jamaican Coffee River Rg,Coffee,Premium brewed coffee,2023-01-16,Mon,Jan,16,202301,2023,8,6,6.20,2,1,Morning,Weekday
1,1,1,Lower Manhattan,English Breakfast Rg,Tea,Brewed Black tea,2023-01-16,Mon,Jan,16,202301,2023,8,3,2.50,1,1,Morning,Weekday
1,1,1,Astoria,Brazilian Lg,Coffee,Organic brewed coffee,2023-01-17,Tue,Jan,17,202301,2023,13,7,7.00,2,1,Afternoon,Weekday
1,1,1,Lower Manhattan,Sustainably Grown Organic Lg,Drinking Chocolate,Hot chocolate,2023-01-19,Thu,Jan,19,202301,2023,8,10,9.50,2,1,Morning,Weekday
1,1,1,Lower Manhattan,Latte Rg,Coffee,Barista Espresso,2023-01-22,Sun,Jan,22,202301,2023,6,13,12.75,3,1,Morning,Weekend
2,1,1,Hell's Kitchen,Columbian Medium Roast Rg,Coffee,Gourmet brewed coffee,2023-01-24,Tue,Jan,24,202301,2023,6,8,7.50,3,2,Morning,Weekday
1,1,1,Astoria,Chocolate Croissant,Bakery,Pastry,2023-01-24,Tue,Jan,24,202301,2023,18,4,3.75,1,1,Evening,Weekday
2,1,1,Lower Manhattan,Sustainably Grown Organic Lg,Drinking Chocolate,Hot chocolate,2023-01-31,Tue,Jan,31,202301,2023,8,19,19.00,4,2,Morning,Weekday
3,1,1,Astoria,Traditional Blend Chai Rg,Tea,Brewed Chai tea,2023-02-06,Mon,Feb,6,202302,2023,16,13,12.50,5,3,Evening,Weekday
1,1,1,Astoria,Croissant,Bakery,Pastry,2023-02-07,Tue,Feb,7,202302,2023,17,4,3.50,1,1,Evening,Weekday
1,1,1,Hell's Kitchen,Morning Sunrise Chai Lg,Tea,Brewed Chai tea,2023-02-13,Mon,Feb,13,202302,2023,14,4,4.00,1,1,Afternoon,Weekday
1,1,1,Lower Manhattan,Dark chocolate Lg,Drinking Chocolate,Hot chocolate,2023-01-03,Tue,Jan,3,202301,2023,7,9,9.00,2,1,Morning,Weekday
2,1,1,Lower Manhattan,Earl Grey Lg,Tea,Brewed Black tea,2023-01-03,Tue,Jan,3,202301,2023,14,6,6.00,2,2,Afternoon,Weekday
2,1,1,Astoria,Brazilian Sm,Coffee,Organic brewed coffee,2023-01-03,Tue,Jan,3,202301,2023,16,7,6.60,3,2,Evening,Weekday
1,1,1,Astoria,Brazilian Lg,Coffee,Organic brewed coffee,2023-01-03,Tue,Jan,3,202301,2023,15,7,7.00,2,1,Afternoon,Weekday
1,1,1,Astoria,Serenity Green Tea Rg,Tea,Brewed Green tea,2023-01-04,Wed,Jan,4,202301,2023,12,3,2.50,1,1,Afternoon,Weekday
1,1,1,Lower Manhattan,Earl Grey Rg,Tea,Brewed Black tea,2023-01-04,Wed,Jan,4,202301,2023,17,5,5.00,2,1,Evening,Weekday
1,1,1,Lower Manhattan,Traditional Blend Chai Rg,Tea,Brewed Chai tea,2023-01-05,Thu,Jan,5,202301,2023,9,5,5.00,2,1,Morning,Weekday
1,1,1,Lower Manhattan,Cappuccino,Coffee,Barista Espresso,2023-01-05,Thu,Jan,5,202301,2023,12,4,3.75,1,1,Afternoon,Weekday
1,1,1,Lower Manhattan,Ginger Biscotti,Bakery,Biscotti,2023-01-06,Fri,Jan,6,202301,2023,8,4,3.50,1,1,Morning,Weekday
2,1,1,Lower Manhattan,Latte Rg,Coffee,Barista Espresso,2023-01-07,Sat,Jan,7,202301,2023,8,17,17.00,4,2,Morning,Weekend
3,1,1,Hell's Kitchen,Columbian Medium Roast Sm,Coffee,Gourmet brewed coffee,2023-01-07,Sat,Jan,7,202301,2023,9,10,10.00,5,3,Morning,Weekend
1,1,1,Hell's Kitchen,Lemon Grass Rg,Tea,Brewed herbal tea,2023-01-07,Sat,Jan,7,202301,2023,11,5,5.00,2,1,Morning,Weekend
1,1,1,Astoria,Ethiopia Lg,Coffee,Gourmet brewed coffee,2023-01-07,Sat,Jan,7,202301,2023,11,7,7.00,2,1,Morning,Weekend
2,1,1,Hell's Kitchen,Traditional Blend Chai Rg,Tea,Brewed Chai tea,2023-01-08,Sun,Jan,8,202301,2023,7,8,7.50,3,2,Morning,Weekend
2,1,1,Hell's Kitchen,Columbian Medium Roast Rg,Coffee,Gourmet brewed coffee,2023-01-08,Sun,Jan,8,202301,2023,8,5,5.00,2,2,Morning,Weekend
1,1,1,Hell's Kitchen,Spicy Eye Opener Chai Lg,Tea,Brewed Chai tea,2023-01-08,Sun,Jan,8,202301,2023,8,3,3.10,1,1,Morning,Weekend
1,1,1,Hell's Kitchen,English Breakfast Rg,Tea,Brewed Black tea,2023-01-08,Sun,Jan,8,202301,2023,10,3,2.50,1,1,Morning,Weekend
1,1,1,Hell's Kitchen,Ethiopia Lg,Coffee,Gourmet brewed coffee,2023-01-09,Mon,Jan,9,202301,2023,7,7,7.00,2,1,Morning,Weekday
3,1,1,Astoria,Cappuccino,Coffee,Barista Espresso,2023-01-09,Mon,Jan,9,202301,2023,8,15,15.00,4,3,Morning,Weekday
2,1,1,Lower Manhattan,Traditional Blend Chai Lg,Tea,Brewed Chai tea,2023-01-09,Mon,Jan,9,202301,2023,8,9,9.00,3,2,Morning,Weekday
1,1,1,Hell's Kitchen,Ethiopia Rg,Coffee,Gourmet brewed coffee,2023-01-10,Tue,Jan,10,202301,2023,9,6,6.00,2,1,Morning,Weekday
1,1,1,Astoria,Our Old Time Diner Blend Rg,Coffee,Drip coffee,2023-01-10,Tue,Jan,10,202301,2023,11,3,2.50,1,1,Morning,Weekday
1,1,1,Hell's Kitchen,Jamaican Coffee River Lg,Coffee,Premium brewed coffee,2023-01-11,Wed,Jan,11,202301,2023,10,4,3.75,1,1,Morning,Weekday
1,1,1,Hell's Kitchen,Ginger Biscotti,Bakery,Biscotti,2023-01-11,Wed,Jan,11,202301,2023,19,4,3.50,1,1,Evening,Weekday
1,1,1,Astoria,Cranberry Scone,Bakery,Scone,2023-01-12,Thu,Jan,12,202301,2023,10,3,3.25,1,1,Morning,Weekday
1,1,1,Lower Manhattan,Jamaican Coffee River Lg,Coffee,Premium brewed coffee,2023-01-12,Thu,Jan,12,202301,2023,14,8,7.50,2,1,Afternoon,Weekday
1,1,1,Hell's Kitchen,Almond Croissant,Bakery,Pastry,2023-01-13,Fri,Jan,13,202301,2023,13,4,3.75,1,1,Afternoon,Weekday
1,1,1,Hell's Kitchen,Primo Espresso Roast,Coffee beans,Espresso Beans,2023-01-13,Fri,Jan,13,202301,2023,16,20,20.45,1,1,Evening,Weekday
1,1,1,Astoria,Ethiopia Rg,Coffee,Gourmet brewed coffee,2023-01-14,Sat,Jan,14,202301,2023,8,3,3.00,1,1,Morning,Weekend
1,1,1,Hell's Kitchen,Hazelnut Biscotti,Bakery,Biscotti,2023-01-14,Sat,Jan,14,202301,2023,18,3,3.25,1,1,Evening,Weekend
1,1,1,Astoria,Serenity Green Tea Lg,Tea,Brewed Green tea,2023-01-14,Sat,Jan,14,202301,2023,19,6,6.00,2,1,Evening,Weekend
2,1,1,Lower Manhattan,Columbian Medium Roast Sm,Coffee,Gourmet brewed coffee,2023-01-15,Sun,Jan,15,202301,2023,6,6,6.00,3,2,Morning,Weekend
1,1,1,Astoria,Hazelnut Biscotti,Bakery,Biscotti,2023-01-15,Sun,Jan,15,202301,2023,7,3,3.25,1,1,Morning,Weekend
1,1,1,Hell's Kitchen,Peppermint Rg,Tea,Brewed herbal tea,2023-01-10,Tue,Jan,10,202301,2023,14,3,2.50,1,1,Afternoon,Weekday
1,1,1,Lower Manhattan,English Breakfast Lg,Tea,Brewed Black tea,2023-01-12,Thu,Jan,12,202301,2023,7,6,6.00,2,1,Morning,Weekday
1,1,1,Hell's Kitchen,English Breakfast Rg,Tea,Brewed Black tea,2023-01-12,Thu,Jan,12,202301,2023,8,5,5.00,2,1,Morning,Weekday
2,1,1,Hell's Kitchen,Brazilian Rg,Coffee,Organic brewed coffee,2023-01-13,Fri,Jan,13,202301,2023,9,12,12.00,4,2,Morning,Weekday
2,1,1,Hell's Kitchen,Ginger Biscotti,Bakery,Biscotti,2023-01-13,Fri,Jan,13,202301,2023,16,7,7.00,2,2,Evening,Weekday
2,1,1,Lower Manhattan,Brazilian Lg,Coffee,Organic brewed coffee,2023-01-12,Thu,Jan,12,202301,2023,17,11,10.50,3,2,Evening,Weekday
1,1,1,Astoria,Our Old Time Diner Blend Rg,Coffee,Drip coffee,2023-01-15,Sun,Jan,15,202301,2023,8,5,5.00,2,1,Morning,Weekend
1,1,1,Astoria,Our Old Time Diner Blend Lg,Coffee,Drip coffee,2023-01-15,Sun,Jan,15,202301,2023,14,3,3.00,1,1,Afternoon,Weekend
1,1,1,Lower Manhattan,Peppermint Rg,Tea,Brewed herbal tea,2023-01-15,Sun,Jan,15,202301,2023,18,5,5.00,2,1,Evening,Weekend
1,1,1,Astoria,Columbian Medium Roast Lg,Coffee,Gourmet brewed coffee,2023-01-15,Sun,Jan,15,202301,2023,19,6,6.00,2,1,Evening,Weekend
3,1,1,Astoria,Hazelnut Biscotti,Bakery,Biscotti,2023-01-16,Mon,Jan,16,202301,2023,8,10,9.75,3,3,Morning,Weekday
3,1,1,Astoria,Ginger Scone,Bakery,Scone,2023-01-16,Mon,Jan,16,202301,2023,10,10,9.75,3,3,Morning,Weekday
1,1,1,Hell's Kitchen,Traditional Blend Chai Rg,Tea,Brewed Chai tea,2023-01-17,Tue,Jan,17,202301,2023,6,5,5.00,2,1,Morning,Weekday
1,1,1,Astoria,Lemon Grass Lg,Tea,Brewed herbal tea,2023-01-17,Tue,Jan,17,202301,2023,7,6,6.00,2,1,Morning,Weekday
1,1,1,Hell's Kitchen,Earl Grey Rg,Tea,Brewed Black tea,2023-01-17,Tue,Jan,17,202301,2023,9,5,5.00,2,1,Morning,Weekday
4,1,1,Hell's Kitchen,Chocolate Croissant,Bakery,Pastry,2023-01-17,Tue,Jan,17,202301,2023,10,15,15.00,4,4,Morning,Weekday
1,1,1,Hell's Kitchen,Morning Sunrise Chai Lg,Tea,Brewed Chai tea,2023-01-18,Wed,Jan,18,202301,2023,6,8,8.00,2,1,Morning,Weekday
1,1,1,Lower Manhattan,Espresso shot,Coffee,Barista Espresso,2023-01-18,Wed,Jan,18,202301,2023,7,6,6.00,2,1,Morning,Weekday
1,1,1,Hell's Kitchen,Columbian Medium Roast Rg,Coffee,Gourmet brewed coffee,2023-01-18,Wed,Jan,18,202301,2023,8,3,2.50,1,1,Morning,Weekday
1,1,1,Hell's Kitchen,Ethiopia Lg,Coffee,Gourmet brewed coffee,2023-01-18,Wed,Jan,18,202301,2023,9,4,3.50,1,1,Morning,Weekday
2,1,1,Astoria,Ethiopia Lg,Coffee,Gourmet brewed coffee,2023-01-18,Wed,Jan,18,202301,2023,10,11,10.50,3,2,Morning,Weekday
2,1,1,Hell's Kitchen,Sugar Free Vanilla syrup,Flavours,Sugar free syrup,2023-01-18,Wed,Jan,18,202301,2023,11,2,2.40,3,2,Morning,Weekday
2,1,1,Hell's Kitchen,Lemon Grass Rg,Tea,Brewed herbal tea,2023-01-18,Wed,Jan,18,202301,2023,11,8,7.50,3,2,Morning,Weekday
1,1,1,Astoria,Earl Grey Lg,Tea,Brewed Black tea,2023-01-18,Wed,Jan,18,202301,2023,13,3,3.00,1,1,Afternoon,Weekday
1,1,1,Astoria,Dark chocolate Rg,Drinking Chocolate,Hot chocolate,2023-01-18,Wed,Jan,18,202301,2023,13,4,3.50,1,1,Afternoon,Weekday
2,1,1,Astoria,Spicy Eye Opener Chai Rg,Tea,Brewed Chai tea,2023-01-19,Thu,Jan,19,202301,2023,7,8,7.65,3,2,Morning,Weekday
2,1,1,Astoria,Cappuccino Lg,Coffee,Barista Espresso,2023-01-19,Thu,Jan,19,202301,2023,9,13,12.75,3,2,Morning,Weekday
1,1,1,Hell's Kitchen,Columbian Medium Roast Rg,Coffee,Gourmet brewed coffee,2023-01-19,Thu,Jan,19,202301,2023,10,3,2.50,1,1,Morning,Weekday
1,1,1,Astoria,I Need My Bean! T-shirt,Branded,Clothing,2023-01-19,Thu,Jan,19,202301,2023,11,28,28.00,1,1,Morning,Weekday
2,1,1,Lower Manhattan,Hazelnut Biscotti,Bakery,Biscotti,2023-01-20,Fri,Jan,20,202301,2023,7,7,6.50,2,2,Morning,Weekday
2,1,1,Lower Manhattan,Cappuccino,Coffee,Barista Espresso,2023-01-20,Fri,Jan,20,202301,2023,10,15,15.00,4,2,Morning,Weekday
1,1,1,Astoria,Brazilian Rg,Coffee,Organic brewed coffee,2023-01-20,Fri,Jan,20,202301,2023,15,3,3.00,1,1,Afternoon,Weekday
1,1,1,Lower Manhattan,Morning Sunrise Chai Lg,Tea,Brewed Chai tea,2023-01-21,Sat,Jan,21,202301,2023,7,12,12.00,3,1,Morning,Weekend
1,1,1,Astoria,Serenity Green Tea Rg,Tea,Brewed Green tea,2023-01-21,Sat,Jan,21,202301,2023,8,3,2.50,1,1,Morning,Weekend
1,1,1,Hell's Kitchen,Our Old Time Diner Blend Sm,Coffee,Drip coffee,2023-01-21,Sat,Jan,21,202301,2023,12,2,2.00,1,1,Afternoon,Weekend
